epoch,acc,loss,val_acc,val_loss
0,0.9785240472742371,0.060765327069123826,1.0,0.014389477152791288
1,0.9881632115702728,0.029020065457655092,0.9967320261437909,0.01480357805677854
2,0.9896701538336895,0.025836947627196207,1.0,0.016717365825719206
3,0.9905471780278096,0.023645001329864457,1.0,0.018016772194814203
4,0.9919872801109952,0.021427204091596402,0.9967320261437909,0.01640394112792207
5,0.9938446269608985,0.019746126461415013,0.9934640522875817,0.018631826315434297
6,0.9943996030098337,0.01813384510748318,0.9934640522875817,0.015365432045465104
7,0.9942618717276162,0.016910252839733728,0.9934640522875817,0.013005189555758015
8,0.9945737925726381,0.015796528640067777,0.9934640522875817,0.013754073711526062
9,0.9947054474747578,0.015174184248134274,0.9967320261437909,0.010439855366427104
