epoch,acc,loss,val_acc,val_loss
0,0.9900286602594615,0.029651507344199447,0.9967320261437909,0.007649272113423673
1,0.9958903415938345,0.01284447979141473,0.9934640522875817,0.01800304668998495
2,0.9969152243703351,0.009796870715560922,0.9934640522875817,0.020105173563077935
3,0.9975816007210637,0.007324079499716445,0.9934640522875817,0.019949000059711456
4,0.9980272019282379,0.006106018764332827,0.9901960784313726,0.020851067386531832
5,0.9983188681729338,0.005309469818451198,0.9967320261437909,0.023081562945460772
6,0.9985234396362274,0.004730190284259236,0.9934640522875817,0.01312914459265729
7,0.9985457196965861,0.004569238847036753,0.9901960784313726,0.017230384520029045
8,0.9986510436182818,0.004275610161458205,1.0,0.0019468790025022672
9,0.9987563675399775,0.003950512563634103,0.9967320261437909,0.004313198747624091
